Title,Budget,Gross US & Canada,Opening weekend US & Canada,Gross worldwide,Runtime,Color,Sound mix,Aspect ratio
Despicable Me 2,76000000,368065385,83517315,970766005,98,Color,Dolby Digital Datasat SDDS Dolby Atmos Dolby Surround 7.1 Auro 11.1,1.85 : 1
Despicable Me,69000000,251683815,56397125,543284256,95,Color,DTS Dolby Digital SDDS,1.85 : 1
Hotel Transylvania,85000000,148313048,42522194,358375603,91,Color,SDDS Datasat Dolby Digital Dolby Atmos,1.85 : 1
The Angry Birds Movie,73000000,107509366,38155177,352333929,97,Color,Dolby Atmos Dolby Surround 7.1 Dolby Digital SDDS,2.35 : 1
Ralph Breaks the Internet,175000000,201091711,56237634,529323962,112,Color,Auro 11.1 Dolby Digital SDDS Dolby Surround 7.1 Dolby Atmos Dolby,2.39 : 1
Wreck-It Ralph,165000000,189422889,49038712,471222889,101,Color,Datasat Dolby Digital SDDS Dolby Atmos Dolby Surround 7.1,1.85 : 1
Cars 3,175000000,152901115,53688680,383930656,102,Color,Auro 11.1 Dolby Digital Dolby Atmos Dolby Surround 7.1 12-Track Digital Sound SDDS Dolby,2.39 : 1
Ice Age,59000000,176387405,46312454,383257136,81,Color,Dolby Digital DTS SDDS Dolby Digital EX,1.85 : 1
Megamind,130000000,148415853,46016833,321885765,95,Color,SDDS DTS Dolby Surround 7.1,2.39 : 1
Kung Fu Panda 3,145000000,143528619,41282042,521170825,95,Color,Auro 11.1 Dolby Digital Dolby Atmos Datasat Dolby Surround 7.1 SDDS,2.39 : 1
Incredibles 2,200000000,608581744,182687905,1243225667,118,Color,Dolby Atmos Dolby Digital IMAX 6-Track Auro 11.1 Dolby Surround 7.1,2.39 : 1
Madagascar: Escape 2 Africa,150000000,180010950,63106589,603900354,89,Color,DTS Dolby Digital SDDS,1.85 : 1
Monsters University,200000000,268492764,82429469,743559645,104,Color,Dolby Atmos Datasat SDDS Auro 11.1 Dolby Digital Dolby Surround 7.1,1.85 : 1
Rio 2,103000000,131538435,39327869,498781117,101,Color,Dolby SDDS Datasat Dolby Atmos,2.39 : 1
Moana,150000000,248757044,56631401,687229282,107,Color,Dolby Atmos Dolby Surround 7.1 Dolby Digital 12-Track Digital Sound SDDS,2.39 : 1
Finding Dory,200000000,486295561,135060273,1029266989,97,Color,Dolby Digital Dolby Atmos Dolby Surround 7.1 Auro 11.1 SDDS,1.85 : 1
Kung Fu Panda 2,150000000,165249063,47656302,665692281,90,Color,SDDS DTS Dolby Surround 7.1,2.39 : 1
Ice Age: The Meltdown,80000000,195330621,68033544,667094506,91,Color,Dolby DTS SDDS,1.85 : 1
Tangled,260000000,200821936,48767052,592472813,100,Color,Dolby Digital SDDS DTS Dolby Surround 7.1,1.85 : 1
Madagascar 3: Europe's Most Wanted,145000000,216391482,60316738,746921274,93,Color,Datasat Dolby Digital SDDS Dolby Surround 7.1,1.85 : 1
Minions: The Rise of Gru,80000000,370270765,107010140,940203765,87,Color,Auro 11.1 SDDS Dolby Digital IMAX 6-Track Dolby Surround 7.1,2.39 : 1
Puss in Boots,130000000,149260504,34077439,554987477,90,Color,SDDS Datasat Dolby Digital,2.35 : 1 2.39 : 1 (original ratio)
Cloudy with a Chance of Meatballs,100000000,124870275,30304648,243006136,90,Color Black and White,DTS Dolby Digital SDDS,2.35 : 1
Despicable Me 3,80000000,264624300,72434025,1034800131,89,Color,SDDS Dolby Digital Auro 11.1 Dolby Surround 7.1 Dolby 12-Track Digital Sound Dolby Atmos DTS,2.39 : 1
