Title,Link,Budget,Gross US & Canada,Opening weekend US & Canada,Gross worldwide,Runtime,Color,Sound mix,Aspect ratio
Despicable Me 2,https://www.imdb.com/title/tt1690953/?ref_=watch_tpks_tt_t_1_pd_tp1_pbr_ic,76000000,368065385,83517315,970766005,98,Color,Dolby Digital Datasat SDDS Dolby Atmos Dolby Surround 7.1 Auro 11.1,1.85 : 1
Despicable Me,https://www.imdb.com/title/tt1323594/?ref_=watch_tpks_tt_t_2_pd_tp1_pbr_ic,69000000,251683815,56397125,543284256,95,Color,DTS Dolby Digital SDDS,1.85 : 1
Hotel Transylvania,https://www.imdb.com/title/tt0837562/?ref_=watch_tpks_tt_t_3_pd_tp1_pbr_ic,85000000,148313048,42522194,358375603,91,Color,SDDS Datasat Dolby Digital Dolby Atmos,1.85 : 1
The Angry Birds Movie,https://www.imdb.com/title/tt1985949/?ref_=watch_tpks_tt_t_4_pd_tp1_pbr_ic,73000000,107509366,38155177,352333929,97,Color,Dolby Atmos Dolby Surround 7.1 Dolby Digital SDDS,2.35 : 1
Ralph Breaks the Internet,https://www.imdb.com/title/tt5848272/?ref_=watch_tpks_tt_t_5_pd_tp1_pbr_ic,175000000,201091711,56237634,529323962,112,Color,Auro 11.1 Dolby Digital SDDS Dolby Surround 7.1 Dolby Atmos Dolby,2.39 : 1
Wreck-It Ralph,https://www.imdb.com/title/tt1772341/?ref_=watch_tpks_tt_t_6_pd_tp1_pbr_ic,165000000,189422889,49038712,471222889,101,Color,Datasat Dolby Digital SDDS Dolby Atmos Dolby Surround 7.1,1.85 : 1
Cars 3,https://www.imdb.com/title/tt3606752/?ref_=watch_tpks_tt_t_7_pd_tp1_pbr_ic,175000000,152901115,53688680,383930656,102,Color,Auro 11.1 Dolby Digital Dolby Atmos Dolby Surround 7.1 12-Track Digital Sound SDDS Dolby,2.39 : 1
Ice Age,https://www.imdb.com/title/tt0268380/?ref_=watch_tpks_tt_t_8_pd_tp1_pbr_ic,59000000,176387405,46312454,383257136,81,Color,Dolby Digital DTS SDDS Dolby Digital EX,1.85 : 1
Megamind,https://www.imdb.com/title/tt1001526/?ref_=watch_tpks_tt_t_9_pd_tp1_pbr_ic,130000000,148415853,46016833,321885765,95,Color,SDDS DTS Dolby Surround 7.1,2.39 : 1
Kung Fu Panda 3,https://www.imdb.com/title/tt2267968/?ref_=watch_tpks_tt_t_10_pd_tp1_pbr_ic,145000000,143528619,41282042,521170825,95,Color,Auro 11.1 Dolby Digital Dolby Atmos Datasat Dolby Surround 7.1 SDDS,2.39 : 1
Incredibles 2,https://www.imdb.com/title/tt3606756/?ref_=watch_tpks_tt_t_11_pd_tp1_pbr_ic,200000000,608581744,182687905,1243225667,118,Color,Dolby Atmos Dolby Digital IMAX 6-Track Auro 11.1 Dolby Surround 7.1,2.39 : 1
Madagascar: Escape 2 Africa,https://www.imdb.com/title/tt0479952/?ref_=watch_tpks_tt_t_12_pd_tp1_pbr_ic,150000000,180010950,63106589,603900354,89,Color,DTS Dolby Digital SDDS,1.85 : 1
Monsters University,https://www.imdb.com/title/tt1453405/?ref_=watch_tpks_tt_t_13_pd_tp1_pbr_ic,200000000,268492764,82429469,743559645,104,Color,Dolby Atmos Datasat SDDS Auro 11.1 Dolby Digital Dolby Surround 7.1,1.85 : 1
Rio 2,https://www.imdb.com/title/tt2357291/?ref_=watch_tpks_tt_t_14_pd_tp1_pbr_ic,103000000,131538435,39327869,498781117,101,Color,Dolby SDDS Datasat Dolby Atmos,2.39 : 1
Moana,https://www.imdb.com/title/tt3521164/?ref_=watch_tpks_tt_t_15_pd_tp1_pbr_ic,150000000,248757044,56631401,687229282,107,Color,Dolby Atmos Dolby Surround 7.1 Dolby Digital 12-Track Digital Sound SDDS,2.39 : 1
Finding Dory,https://www.imdb.com/title/tt2277860/?ref_=watch_tpks_tt_t_16_pd_tp1_pbr_ic,200000000,486295561,135060273,1029266989,97,Color,Dolby Digital Dolby Atmos Dolby Surround 7.1 Auro 11.1 SDDS,1.85 : 1
Kung Fu Panda 2,https://www.imdb.com/title/tt1302011/?ref_=watch_tpks_tt_t_17_pd_tp1_pbr_ic,150000000,165249063,47656302,665692281,90,Color,SDDS DTS Dolby Surround 7.1,2.39 : 1
Ice Age: The Meltdown,https://www.imdb.com/title/tt0438097/?ref_=watch_tpks_tt_t_18_pd_tp1_pbr_ic,80000000,195330621,68033544,667094506,91,Color,Dolby DTS SDDS,1.85 : 1
Tangled,https://www.imdb.com/title/tt0398286/?ref_=watch_tpks_tt_t_19_pd_tp1_pbr_ic,260000000,200821936,48767052,592472813,100,Color,Dolby Digital SDDS DTS Dolby Surround 7.1,1.85 : 1
Madagascar 3: Europe's Most Wanted,https://www.imdb.com/title/tt1277953/?ref_=watch_tpks_tt_t_20_pd_tp1_pbr_ic,145000000,216391482,60316738,746921274,93,Color,Datasat Dolby Digital SDDS Dolby Surround 7.1,1.85 : 1
Minions: The Rise of Gru,https://www.imdb.com/title/tt5113044/?ref_=watch_tpks_tt_t_21_pd_tp1_pbr_ic,80000000,370270765,107010140,940203765,87,Color,Auro 11.1 SDDS Dolby Digital IMAX 6-Track Dolby Surround 7.1,2.39 : 1
Puss in Boots,https://www.imdb.com/title/tt0448694/?ref_=watch_tpks_tt_t_22_pd_tp1_pbr_ic,130000000,149260504,34077439,554987477,90,Color,SDDS Datasat Dolby Digital,2.35 : 1 2.39 : 1 (original ratio)
Cloudy with a Chance of Meatballs,https://www.imdb.com/title/tt0844471/?ref_=watch_tpks_tt_t_23_pd_tp1_pbr_ic,100000000,124870275,30304648,243006136,90,Color Black and White,DTS Dolby Digital SDDS,2.35 : 1
Despicable Me 3,https://www.imdb.com/title/tt3469046/?ref_=watch_tpks_tt_t_24_pd_tp1_pbr_ic,80000000,264624300,72434025,1034800131,89,Color,SDDS Dolby Digital Auro 11.1 Dolby Surround 7.1 Dolby 12-Track Digital Sound Dolby Atmos DTS,2.39 : 1
Cars,https://www.imdb.com/title/tt0317219/?ref_=watch_tpks_tt_t_25_pd_tp1_pbr_ic,120000000,244082982,60119509,461996328,116,Color,SDDS Dolby Digital Dolby Atmos,0
Rise of the Guardians,https://www.imdb.com/title/tt1446192/?ref_=watch_tpks_tt_t_26_pd_tp1_pbr_ic,145000000,103412758,23773465,306941670,97,Color,Dolby Digital Datasat Dolby Atmos Auro 11.1 SDDS Dolby Surround 7.1,1.78 : 1
Kung Fu Panda,https://www.imdb.com/title/tt0441773/?ref_=watch_tpks_tt_t_27_pd_tp1_pbr_ic,130000000,215771591,60239130,632091832,92,Color,SDDS Dolby Digital DTS,2.39 : 1
Rio,https://www.imdb.com/title/tt1436562/?ref_=watch_tpks_tt_t_28_pd_tp1_pbr_ic,90000000,143619809,39225962,483866772,96,Color,Dolby Datasat SDDS Dolby Surround 7.1,2.35 : 1 2.39 : 1
Madagascar,https://www.imdb.com/title/tt0351283/?ref_=watch_tpks_tt_t_29_pd_tp1_pbr_ic,75000000,193595521,47224594,542063846,86,Color,DTS Dolby Digital SDDS,1.85 : 1
Big Hero 6,https://www.imdb.com/title/tt2245084/?ref_=watch_tpks_tt_t_30_pd_tp1_pbr_ic,165000000,222527828,56215889,657870525,102,Color,Datasat Dolby Digital Dolby Atmos SDDS Auro 11.1 Dolby Surround 7.1,2.39 : 1
Frozen,https://www.imdb.com/title/tt2294629/?ref_=watch_tpks_tt_t_31_pd_tp1_pbr_ic,150000000,400953009,243390,1285048126,102,Color,Datasat Dolby Atmos Auro 11.1 Dolby Surround 7.1 Dolby Digital,2.39 : 1
Ice Age: Continental Drift,https://www.imdb.com/title/tt1667889/?ref_=watch_tpks_tt_t_32_pd_tp1_pbr_ic,95000000,161321843,46629259,877244782,88,Color,SDDS Dolby Datasat Dolby Atmos Auro 11.1 Dolby Surround 7.1,2.35 : 1
Bolt,https://www.imdb.com/title/tt0397892/?ref_=watch_tpks_tt_t_33_pd_tp1_pbr_ic,150000000,114053579,26223128,309979994,96,Color,SDDS Dolby Digital EX DTS-ES,1.85 : 1
The Croods,https://www.imdb.com/title/tt0481499/?ref_=watch_tpks_tt_t_34_pd_tp1_pbr_ic,135000000,187168425,43639736,587266745,98,Color,Dolby Atmos Datasat Auro 11.1 SDDS Dolby Digital Dolby Surround 7.1,2.35 : 1
Toy Story 2,https://www.imdb.com/title/tt0120363/?ref_=watch_tpks_tt_t_35_pd_tp1_pbr_ic,90000000,245852179,300163,497375381,92,0,SDDS Dolby Digital DTS Dolby Digital EX Dolby Stereo DTS-ES D-Cinema 96kHz Dolby Surround 7.1 D-Cinema 48kHz 5.1 D-Cinema 48kHz 7.1 DTS-Stereo Spectra-Stereo,0
Zootopia,https://www.imdb.com/title/tt2948356/?ref_=watch_tpks_tt_t_36_pd_tp1_pbr_ic,150000000,341268248,75063401,1025521689,108,Color,Datasat Dolby Atmos Dolby Surround 7.1 Dolby Digital 12-Track Digital Sound Auro 11.1 D-Cinema 96kHz Dolby Surround 7.1,2.39 : 1
The Lego Movie,https://www.imdb.com/title/tt1490017/?ref_=watch_tpks_tt_t_37_pd_tp1_pbr_ic,60000000,257966122,69050279,470759687,100,Color,Dolby Digital Datasat SDDS Dolby Surround 7.1 Dolby,1.33 : 1 2.35 : 1 2.35 : 1 (original ratio) 2.39 : 1 2.39 : 1 (original ratio)
Hotel Transylvania 3: Summer Vacation,https://www.imdb.com/title/tt5220122/?ref_=watch_tpks_tt_t_38_pd_tp1_pbr_ic,80000000,167510016,44076225,528583774,97,Color,Dolby Digital Dolby Atmos SDDS Auro 11.1,1.85 : 1
Cars 2,https://www.imdb.com/title/tt1216475/?ref_=watch_tpks_tt_t_39_pd_tp1_pbr_ic,200000000,191452396,66135507,559853036,106,Color,Dolby Digital Datasat SDDS Dolby Surround 7.1 Dolby Atmos 12-Track Digital Sound D-Cinema 48kHz 7.1,2.39 : 1
How to Train Your Dragon 2,https://www.imdb.com/title/tt1646971/?ref_=watch_tpks_tt_t_40_pd_tp1_pbr_ic,145000000,177002924,49451322,621537519,102,Color,Auro 11.1 Dolby Atmos Datasat Dolby Digital SDDS,2.39 : 1
The Secret Life of Pets,https://www.imdb.com/title/tt2709768/?ref_=watch_tpks_tt_t_41_pd_tp1_pbr_ic,75000000,368623860,104352905,894567999,86,Color,Dolby Digital SDDS Auro 11.1 Dolby Atmos 12-Track Digital Sound Dolby Dolby Surround 7.1,1.85 : 1
Ice Age: Dawn of the Dinosaurs,https://www.imdb.com/title/tt1080016/?ref_=watch_tpks_tt_t_42_pd_tp1_pbr_ic,90000000,196573705,41690382,886686817,94,Color,DTS Dolby SDDS,1.85 : 1
Brave,https://www.imdb.com/title/tt1217209/?ref_=watch_tpks_tt_t_43_pd_tp1_pbr_ic,185000000,237283207,66323594,538983207,93,Color,Dolby Atmos Datasat Dolby Surround 7.1 SDDS Dolby Digital D-Cinema 96kHz Dolby Surround 7.1 D-Cinema 48kHz Dolby Surround 7.1,2.39 : 1
Penguins of Madagascar,https://www.imdb.com/title/tt1911658/?ref_=watch_tpks_tt_t_44_pd_tp1_pbr_ic,132000000,83850911,25447444,373515621,92,Color,Dolby Atmos Auro 11.1 Dolby Surround 7.1 Datasat Dolby Digital,1.85 : 1
The Boss Baby,https://www.imdb.com/title/tt3874544/?ref_=watch_tpks_tt_t_45_pd_tp1_pbr_ic,125000000,175003033,50198902,527965936,97,Color,Auro 11.1 Dolby Digital Dolby Atmos Dolby Surround 7.1 Dolby SDDS,2.39 : 1
Hotel Transylvania 2,https://www.imdb.com/title/tt2510894/?ref_=watch_tpks_tt_t_46_pd_tp1_pbr_ic,80000000,169700110,48464322,475186976,89,Color,Datasat Dolby Digital Dolby Surround 7.1 Dolby Atmos SDDS,1.85 : 1
Turbo,https://www.imdb.com/title/tt1860353/?ref_=watch_tpks_tt_t_47_pd_tp1_pbr_ic,135000000,83028128,21312625,282570682,96,Color,Dolby Digital Dolby Atmos Datasat SDDS Auro 11.1 Dolby Surround 7.1,2.39 : 1
Sing,https://www.imdb.com/title/tt3470600/?ref_=watch_tpks_tt_t_48_pd_tp1_pbr_ic,75000000,270578425,35258145,634338409,108,Color,Dolby Digital Auro 11.1 SDDS Dolby Atmos 12-Track Digital Sound Dolby Dolby Surround 7.1,1.85 : 1
